Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Bulgaria,BGR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,..,..,8.95102,..,..,9.27774,9.65432,11.18025,6.703,12.07252,12.01048,11.11392,12.61226,12.65675,11.16342,11.10005,10.69092,11.4398,..,..,..,..
Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,10583.8675532626,9786.47168043251,9172.73622422576,9109.33303016892,9306.49167890282,9615.40661445947,9733.23249649045,9686.04433675727,10369.9780327934,9551.4565818696,10056.2019060593,10645.1532612568,11524.6814654455,12215.2960315217,13099.8995179599,14139.1370009924,15226.3186865473,16465.2256602832,17579.7062473734,17058.8259214738,17398.8560080617,17846.0959383883,17955.3231640631,18145.2742436362,18584.0274865246,19352.2010315814,20255.6226320691,21181.7717825613
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7491.0589259877,7160.92069127977,6864.79715864622,6978.86880355856,7282.16728535569,7681.65106260925,6775.8406345088,5695.42579605598,6141.20457729288,5767.19114134622,6379.39098699151,6909.02265116545,7726.41129289764,8343.29617887978,9122.86833284325,10211.3030087224,11311.638802398,12799.9281220341,14328.9350724869,14156.8410403373,14945.2604469134,15676.0813635351,16208.2291162516,16571.0498499014,17534.3420112548,18186.485798929,19807.0842461553,21181.7717825613
Bulgaria,BGR,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,92273216067.0659,84480415180.6001,78336671683.6288,77177120652.8296,78580209381.5587,80827752233.3895,81397329785.6953,80511059178.1413,85622689441.4762,78423418646.0565,82160899239.2325,85258544081.1686,90320784118.4127,94977921046.8835,101090090594.164,108291254394.765,115735583315.458,124235692853.11,131717021420.526,126993457219.334,128674962094.365,131138966474.745,131179580040.45,131827504086.555,134249862352.949,138909924834.882,144378472620.56,149881094499.499
Bulgaria,BGR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,65309216632.7903,61815695465.0206,58626493561.5727,59127160889.6836,61487642151.1237,64572473502.9145,56665176230.1267,47340766505.7714,50706611976.9277,47352237997.7247,52120721618.9704,55335343494.4005,60553129254.6569,64871856048.6408,70399897722.9848,78208083827.3208,85980015393.0808,96579784056.4528,107360420095.648,105389796184.852,110529153215.932,115192987613.943,118415506601.673,120390582830.266,126666999560.1,130542431386.34,141181370845.599,149881094499.499
Bulgaria,BGR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,26.1880006603678,226.537860005017,59.5786492835572,51.0910538577888,72.7049683964406,134.521317574,69.7713957134241,779.470207767449,31.1674517190206,3.21756664558698,7.19676825327954,6.10840573205935,3.77370585338359,2.27115018306294,5.65948509574096,6.51169251194735,6.74143763509232,11.0913984829363,8.12976551430624,4.04741747488599,1.10747418336967,5.97862816604571,1.55524469369723,-0.70290592033966,0.462505958457399,2.20609281343893,2.2460996903189,3.40263633372714
Bulgaria,BGR,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,..,..,..,..,..,..,..,..,..,..,100,97.91723873,99.7322399,100.5348179,95.60445045,96.81494266,102.2686134,104.877412,105.0207828,107.0223123,107.8559273,106.6788436,107.0210749,106.3616058,107.1832668,111.4159724,112.766703,110.7334171
Czech Republic,CZE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,9.24754,..,8.54842,8.90853,8.91229,8.67646,8.8648,8.38266,9.43307,9.20297,10.19694,9.57695,9.21464,9.43733,9.34049,9.92718,9.55685,9.60244,9.41373,13.88252,14.1515,..
Czech Republic,CZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,23661.7112261658,20963.6831792428,20836.1791994156,20827.4169396638,21425.6102450964,22772.542938515,23761.8234324542,23645.9894336651,23590.6016695585,23953.078906282,25045.2268041711,25870.7527071375,26349.0440974244,27306.2114599089,28637.2910939499,30466.1278437654,32466.0948093444,34085.5692629519,34710.7480526214,32856.0147077338,33505.2062512963,34030.442998817,33711.0490231477,33536.8724334961,34411.1911214653,36166.9931624967,36982.1887086232,38489.4963100125
Czech Republic,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12656.2410831208,11592.311270367,11784.3770453368,12058.5091137751,12669.7373582508,13748.591337746,14575.9700338471,14727.1912838595,14906.3587861548,15324.1064301742,16194.6281093041,17554.6593446962,18189.2343541554,19426.3862739107,20799.2512690536,21956.3838583853,23772.4721260917,26122.9882830928,27844.7953264656,27620.1988622677,27688.1426609856,28797.4179611691,29047.2464395949,30485.7141541113,32263.3157548997,33691.4242392608,35876.7274376121,38489.4963100125
