year,country,eci,eci_norm,population,gdp_pc,gdp,inflation,economic_freedom,gross_fix_cap,trade_openness,fdi,human_capital,private_sec_cred,rule_of_law,fdi_gdp
2011,Bulgaria,0.447953,0.3239742132196555,7348328,17846.0959383883,115192987613.943,5.97862816604571,64.9,10748883173.142,117.761983184537,2103810000,3.0941543579101562,64.7449,-0.1117412,0.018263351299218793
2012,Bulgaria,0.497365,0.35076288512239834,7305888,17955.3231640631,118415506601.673,1.55524469369723,64.7,10944564775.9578,124.790956650626,1788110000,3.1054906845092773,65.41393,-0.085205,0.01510030275016986
2013,Bulgaria,0.278113,0.23189560810426177,7265115,18145.2742436362,120390582830.266,-0.70290592033966,65,11004128875.0508,130.202367035928,1989040000,3.116868257522583,66.20646,-0.1024054,0.01652155802588206
2014,Bulgaria,0.290812,0.23878035967256364,7223938,18584.0274865246,126666999560.1,0.462505958457399,65.7,11386895898.1995,130.790271741726,1093600000,3.1282877922058105,61.88671,-0.0460172,0.008633661520348217
2015,Bulgaria,0.358694,0.27558252566669433,7177991,19352.2010315814,130542431386.34,2.20609281343893,66.8,11689319074.049,128.111706211219,2179500000,3.1397488117218018,55.80816,-0.0970044,0.016695720899741598
2016,Bulgaria,0.327278,0.25855036917643753,7127822,20255.6226320691,141181370845.599,2.2460996903189,65.9,10914782726.4113,124.448316158504,1476500000,3.151252031326294,52.04464,-0.0614716,0.010458178661650433
2017,Bulgaria,0.347659,0.2695999102201071,7075947,21181.7717825613,149881094499.499,3.40263633372714,67.9,11267429267.6323,131.903110077443,2020340000,3.162797451019287,49.80521,-0.040923,0.013479618672031738
1996,Croatia,0.74655,0.4858583114982779,4557097,15991.0953226727,39558632586.9201,3.82324680170586,48,6918340439.86074,67.8965031230985,492528182.656309,2.820119857788086,24.32717,-0.6342322,0.012450586646899455
1997,Croatia,0.727172,0.4753525460135505,4534920,17154.4449249388,42907433761.2446,6.84316483517962,46.7,8644393688.65363,75.4426887878938,596514805.246476,2.842339515686035,26.44058,1.068723,0.013902364997304215
1998,Croatia,0.677189,0.4482543069680799,4532135,17508.7915335185,44347372490.3736,8.10593511745191,51.7,8836044356.1778,65.673276582878,1004077219.78391,2.864733934402466,32.12974,-0.3571571,0.022641188494354727
1999,Croatia,0.632074,0.42379524979791394,4512597,17440.7974471104,44421324026.6851,3.53882603594332,53.1,8551948258.54274,66.9289592662297,1454741833.64146,2.8873050212860107,33.1898,1.258094,0.032748727452778244
