Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Hungary,HUN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,553809000,1462141210.2598,1479165393.92739,2349715110.57644,1144083870.1178,4804151332.43276,3288936448.51943,4164123319.5914,3261654749.79361,3384965975.25316,2747712559.81382,4058819560.69834,3643428379.51995,4157510420.33352,4538099567.15789,27489690204.0215,18678720024.6862,70631297038.9164,75107772943.2045,-2792080129.12211,-20770280260.78,10740966550.9834,10815928328.3018,-3586600504.51759,13060104658.7999,-5266437314.96472,69681210262.328,-12174325328.2763,-65534350921.8198,6092445979.40677
Hungary,HUN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,4.2071684241129,3.81911442534407,5.85599993590127,2.65038660313986,10.3480478194497,7.04891598121972,8.80421055001972,6.69650972724819,6.89776404900304,5.81915570397215,7.55129373840367,5.38897593043896,4.87387192546548,4.36523546091485,24.3312618248781,16.1612419142968,50.4631812562539,47.4955847375587,-2.1352657145714,-15.8387855027427,7.61179133319735,8.43981018072622,-2.64871554492648,9.29156048214399,-4.22905986488503,54.6487262910685,-8.60312004127204,-41.5081972891282,..
Bulgaria,BGR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4000000,55900000,41500000,40000000,105400000,90400000,109000000,504800000,537317256.150851,818788154.863275,1001503841.99968,812942201.973002,904659791.087722,2096788700.05598,3072550961.81564,4098122930.77934,7874476255.43262,13875270456.9117,10296720633.7243,3896664559.17164,1842900000,2103810000,1788110000,1989040000,1093600000,2179500000,1476500000,2020340000,1222580000,1504060000
Bulgaria,BGR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.0193872740170872,0.510803242446573,0.400946215139442,0.369354299096688,1.08688736681887,0.479129268869785,0.894547215943166,4.50250107388886,3.59597820016559,6.05076863639275,7.61425213485459,5.7755351977185,5.55808812019452,9.99294705126427,11.8366376593582,13.827903593363,23.0719249763639,31.2425335354324,18.9246161911489,7.51026984032086,3.64137103407323,3.66399876793918,3.31727224635667,3.58029678218457,1.92485925784421,4.34151974819137,2.77324126208435,3.47012402701833,1.87705298016313,..
Croatia,HRV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,13000000,144186480.153655,114440874.376863,108053139.664729,492528182.656309,596514805.246476,1004077219.78391,1454741833.64146,1015069996.97348,1036758145.87206,980784304.813265,1846434012.04769,1314179917.33292,1814728743.16264,3346611893.3292,4645807617.35418,5249620116.02881,3069599255.91982,1545050408.33734,1248979435.63125,1465100044.52763,937309759.586375,3184022339.46982,52276286.8024189,418512745.53143,476823315.600372,1212763554.01445,1170052265.37469
Croatia,HRV,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,0.482004587159491,2.0772770137085,2.50060670237353,3.94265174533935,6.21671768201122,4.68439953099801,4.47267946655016,3.65749761456557,5.32319920247929,3.15951024775254,3.99836610454578,6.63287798594797,7.71947119894742,7.46863197978461,4.8983361749349,2.58335218181591,2.00303864236218,2.5933528034301,1.61446604198505,5.52370451741834,0.105543295250381,0.811119483623373,0.861942497511434,1.9890597894367,..
Czech Republic,CZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,654278424.682602,878231739.725255,2567564641.62698,1435279128.15383,1286492873.14104,3700169387.63107,6312596675.96249,4987079129.26384,5640707235.87483,8496609035.7758,2021275745.95501,6423465150.75736,13730164683.4592,7132002407.70599,13815656003.7033,8815393022.10815,5271613701.7927,10167834374.8186,4188736491.29368,9433199804.77647,7357578652.57,8088661929.8803,1699914616.60242,10850612308.2062,11234740946.0941,8324668391.46793,9332858120.79602
Czech Republic,CZE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,1.61095381682886,1.84678319698292,4.29533199588641,2.14266287582651,2.08196775905492,5.56497019114411,9.7315270536516,8.08940820341585,8.35367738895765,10.3730056852681,2.02884047498329,5.39052370203125,10.0749157451568,4.58756448858037,7.30109989467388,3.73979546458325,2.5568019001909,4.90068409072939,1.83758140711468,4.54882936324756,3.51360685053457,3.89217924218107,0.909872695798491,5.56184179486256,5.20335162117526,3.39469402369252,..
Estonia,EST,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,82271988.6444622,168371544.554155,218447607.214571,206807479.410852,165850731.382423,274049611.936437,595587942.514285,325892789.377935,416214286.787887,592889580.182473,338234260.376913,1038244664.19462,1086893435.16595,3057558404.59856,1758167635.56107,3033145919.87663,1977264596.96389,1866296946.5753,2592255114.54214,1119148299.05952,1787341526.52251,1097942106.98722,1781648554.48117,-715465129.889752,925591829.452864,1703867592.55708,1180195916.01414,2897709701.44541
Estonia,EST,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,4.20195354186993,5.30633126107612,4.59794521024246,3.46955728523034,5.32371766572104,10.5117656702144,5.65584983408508,7.30960979237904,9.47220190867979,4.58780907912482,10.5110636774605,8.94975179934811,21.6873856765472,10.3346718755351,13.5133310069875,8.11308628654307,9.45242355462067,13.1686597084672,4.78373919307872,7.70648011889481,4.34460216883966,6.65452911925741,-3.10412314619465,3.85720292662813,6.35943340935205,3.8402654097284,..
