DATE,HCIYISBGA066NRUG
1970-01-01,2.4006166458129883
1971-01-01,2.4185917377471924
1972-01-01,2.436701536178589
1973-01-01,2.454946994781494
1974-01-01,2.4733290672302246
1975-01-01,2.4918487071990967
1976-01-01,2.510507106781006
1977-01-01,2.5293049812316895
1978-01-01,2.548243999481201
1979-01-01,2.564923048019409
1980-01-01,2.5778377056121826
1981-01-01,2.594135046005249
1982-01-01,2.610535144805908
1983-01-01,2.6270391941070557
1984-01-01,2.6436476707458496
1985-01-01,2.660360813140869
1986-01-01,2.6771798133850098
1987-01-01,2.6941051483154297
1988-01-01,2.711137533187866
1989-01-01,2.7282776832580566
1990-01-01,2.745526075363159
1991-01-01,2.7607715129852295
1992-01-01,2.7761013507843018
1993-01-01,2.7915165424346924
1994-01-01,2.8070173263549805
1995-01-01,2.822603940963745
1996-01-01,2.8382773399353027
1997-01-01,2.8540377616882324
1998-01-01,2.8698859214782715
1999-01-01,2.885821580886841
2000-01-01,2.901846170425415
2001-01-01,2.9194586277008057
2002-01-01,2.937177896499634
2003-01-01,2.9550046920776367
2004-01-01,2.9729397296905518
2005-01-01,2.990983724594116
2006-01-01,3.0091373920440674
2007-01-01,3.0274007320404053
2008-01-01,3.0457754135131836
2009-01-01,3.0642611980438232
2010-01-01,3.082859516143799
2011-01-01,3.0941543579101562
2012-01-01,3.1054906845092773
2013-01-01,3.116868257522583
2014-01-01,3.1282877922058105
2015-01-01,3.1397488117218018
2016-01-01,3.151252031326294
2017-01-01,3.162797451019287
