DATE,HCIYISLVA066NRUG
1990-01-01,2.4488115310668945
1991-01-01,2.5156970024108887
1992-01-01,2.576402187347412
1993-01-01,2.6235713958740234
1994-01-01,2.6716041564941406
1995-01-01,2.7205162048339844
1996-01-01,2.7420589923858643
1997-01-01,2.7637720108032227
1998-01-01,2.7856574058532715
1999-01-01,2.807715654373169
2000-01-01,2.829948902130127
2001-01-01,2.856259346008301
2002-01-01,2.882814407348633
2003-01-01,2.909616708755493
2004-01-01,2.9366676807403564
2005-01-01,2.963970422744751
2006-01-01,2.976945638656616
2007-01-01,2.9899778366088867
2008-01-01,3.0030670166015625
2009-01-01,3.0162134170532227
2010-01-01,3.0294175148010254
2011-01-01,3.0429294109344482
2012-01-01,3.056586265563965
2013-01-01,3.0703907012939453
2014-01-01,3.084343910217285
2015-01-01,3.0984487533569336
2016-01-01,3.112706422805786
2017-01-01,3.127119541168213
