DATE,HCIYISSIA066NRUG
1990-01-01,3.119560718536377
1991-01-01,3.133481740951538
1992-01-01,3.1474649906158447
1993-01-01,3.161510705947876
1994-01-01,3.175618886947632
1995-01-01,3.1897902488708496
1996-01-01,3.204533338546753
1997-01-01,3.2193446159362793
1998-01-01,3.234224557876587
1999-01-01,3.2491729259490967
2000-01-01,3.264190673828125
2001-01-01,3.2708539962768555
2002-01-01,3.2775309085845947
2003-01-01,3.284221887588501
2004-01-01,3.290925979614258
2005-01-01,3.2976438999176025
2006-01-01,3.316124677658081
2007-01-01,3.3347091674804688
2008-01-01,3.3533976078033447
2009-01-01,3.3721909523010254
2010-01-01,3.39108943939209
2011-01-01,3.4104909896850586
2012-01-01,3.4301388263702393
2013-01-01,3.4500367641448975
2014-01-01,3.470188856124878
2015-01-01,3.4905993938446045
2016-01-01,3.5112721920013428
2017-01-01,3.5322117805480957
