DATE,HCIYISROA066NRUG
1960-01-01,1.8327703475952148
1961-01-01,1.8468719720840454
1962-01-01,1.8610820770263672
1963-01-01,1.875401496887207
1964-01-01,1.8898311853408813
1965-01-01,1.904371738433838
1966-01-01,1.9422402381896973
1967-01-01,1.9808615446090698
1968-01-01,2.0202510356903076
1969-01-01,2.0604233741760254
1970-01-01,2.1013948917388916
1971-01-01,2.143848180770874
1972-01-01,2.1871590614318848
1973-01-01,2.2313451766967773
1974-01-01,2.276423692703247
1975-01-01,2.3224129676818848
1976-01-01,2.354959011077881
1977-01-01,2.3879613876342773
1978-01-01,2.421426296234131
1979-01-01,2.455360174179077
1980-01-01,2.489769458770752
1981-01-01,2.52458119392395
1982-01-01,2.559879779815674
1983-01-01,2.583956241607666
1984-01-01,2.6082253456115723
1985-01-01,2.6327221393585205
1986-01-01,2.655827283859253
1987-01-01,2.6791350841522217
1988-01-01,2.7026474475860596
1989-01-01,2.7263662815093994
1990-01-01,2.750293254852295
1991-01-01,2.7713756561279297
1992-01-01,2.792619466781616
1993-01-01,2.8140265941619873
1994-01-01,2.835597515106201
1995-01-01,2.8573336601257324
1996-01-01,2.873183488845825
1997-01-01,2.8891210556030273
1998-01-01,2.905147075653076
1999-01-01,2.92126202583313
2000-01-01,2.9374661445617676
2001-01-01,2.9506096839904785
2002-01-01,2.9638121128082275
2003-01-01,2.9770731925964355
2004-01-01,2.990394115447998
2005-01-01,3.003774404525757
2006-01-01,3.022711992263794
2007-01-01,3.04176926612854
2008-01-01,3.060946226119995
2009-01-01,3.080244541168213
2010-01-01,3.0996644496917725
2011-01-01,3.118466377258301
2012-01-01,3.137382745742798
2013-01-01,3.1564135551452637
2014-01-01,3.1755597591400146
2015-01-01,3.194822311401367
2016-01-01,3.2142016887664795
2017-01-01,3.233698606491089
