DATE,HCIYISLTA066NRUG
1990-01-01,2.603236675262451
1991-01-01,2.6310007572174072
1992-01-01,2.6590607166290283
1993-01-01,2.687420129776001
1994-01-01,2.7160818576812744
1995-01-01,2.745049476623535
1996-01-01,2.77628231048584
1997-01-01,2.807870388031006
1998-01-01,2.839818000793457
1999-01-01,2.872129201889038
2000-01-01,2.9048078060150146
2001-01-01,2.9379401206970215
2002-01-01,2.9714503288269043
2003-01-01,3.005342721939087
2004-01-01,3.0396218299865723
2005-01-01,3.074291706085205
2006-01-01,3.0892183780670166
2007-01-01,3.104217052459717
2008-01-01,3.119288682937622
2009-01-01,3.1344335079193115
2010-01-01,3.1496520042419434
2011-01-01,3.165248155593872
2012-01-01,3.1810245513916016
2013-01-01,3.1969845294952393
2014-01-01,3.213129997253418
2015-01-01,3.229464292526245
2016-01-01,3.2459893226623535
2017-01-01,3.262708902359009
